RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;294123;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;475149;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;169614;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;49876;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;75000;NASA
UNIVERSITY OF DELAWARE;335862;NASA
SALK INSTITUTE FOR BIOLOGICAL STUDIES, SAN DIEGO, CALIFORNIA, THE;724999;NSF
GEORGIA TECH RESEARCH CORPORATION;499443;NSF
GEORGIA TECH RESEARCH CORPORATION;706430;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;156000;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;0;NASA
NORTHAMPTON COMMUNITY COLLEGE;212489;NSF
DREXEL UNIVERSITY;270584;NSF
PURDUE UNIVERSITY;500000;NSF
VANDERBILT UNIVERSITY, THE;399951;NSF
NORTH CAROLINA STATE UNIVERSITY;200002;NSF
WASHINGTON UNIVERSITY, THE;299412;NSF
MATHEMATICAL ASSOCIATION OF AMERICA, INC;698744;NSF
CENTRAL MICHIGAN UNIVERSITY (INC);565000;NSF
UNIVERSITY OF MEMPHIS;428744;NSF
UNIVERSITY OF ILLINOIS;134990;NSF
NEW YORK UNIVERSITY;299999;NSF
OPEN SOURCE PROJECT FOR A NETWORK DATA ACCESS PROTOCOL, THE;802000;NSF
WASHINGTON STATE UNIVERSITY;400000;NSF
BAYLOR UNIVERSITY;400000;NSF
MARINE BIOLOGICAL LABORATORY, THE;493458;NSF
WOODS HOLE RESEARCH CENTER, INC., THE;888731;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;299996;NSF
UNIVERSITY OF SOUTH CAROLINA;50000;NSF
WORCESTER POLYTECHNIC INSTITUTE;1499346;NSF
PURDUE UNIVERSITY;126957;NSF
GEORGIA TECH RESEARCH CORPORATION;149810;NSF
UNIVERSITY OF WASHINGTON;1374727;NSF
NEW YORK HALL OF SCIENCE;1195109;NSF
UNIVERSITY OF MASSACHUSETTS;98542;NSF
UNIVERSITY OF ILLINOIS;180000;NASA
WESTERN MICHIGAN UNIVERSITY;199998;NASA
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;249283;NSF
UNIVERSITY OF WYOMING;1199963;NSF
EDUCATION DEVELOPMENT CENTER, INC.;999979;NSF
VANDERBILT UNIVERSITY, THE;50000;NSF
AMERICAN MUSEUM OF NATURAL HISTORY, THE;150001;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;482252;NSF
NORTH CAROLINA STATE UNIVERSITY;185450;NSF
PURDUE UNIVERSITY;200000;NASA
NORTHERN ILLINOIS UNIVERSITY INC;240000;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;425000;NSF
HEALTH FIDELITY, INC;405687;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;9750;NSF
GEORGIA TECH RESEARCH CORPORATION;80000;NSF
NORTHERN ILLINOIS UNIVERSITY INC;5000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;239817;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;538733;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;340000;NSF
SCIENCE MUSEUM OF MINNESOTA, THE;1199539;NSF
DUKE UNIVERSITY;132908;NSF
ARIZONA STATE UNIVERSITY;289980;NSF
UNIVERSITY OF MASSACHUSETTS;0;NSF
NORTHWESTERN UNIVERSITY;714599;NSF
TRUSTEES OF DARTMOUTH COLLEGE;52714;NASA
VASSAR COLLEGE;899314;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;50000;NSF
UNIVERSITY OF ROCHESTER;188776;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;949919;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;449829;NSF
UNIVERSITY OF KENTUCKY;749999;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;560183;NSF
NORTHWESTERN UNIVERSITY;200000;NSF
UNIVERSITY OF ILLINOIS;799943;NSF
GEORGIA TECH RESEARCH CORPORATION;59999;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;50000;NSF
UNIVERSITY OF CONNECTICUT;140000;NSF
HOFSTRA UNIVERSITY;1199737;NSF
DEURION, LLC;452271;NSF
UNIVERSITY OF CHICAGO, THE;17829;NSF
UNIVERSITY OF ALABAMA;250000;NSF
OHIO UNIVERSITY;25000;NASA
KING'S COLLEGE;87775;NSF
UNIVERSITY OF NOTRE DAME DU LAC;195262;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;120493;NSF
CHAPMAN UNIVERSITY;39553;NSF
MICHIGAN STATE UNIVERSITY;969929;NSF
WILLIAM MARSH RICE UNIVERSITY;209105;NSF
PURDUE UNIVERSITY;1199969;NSF
OREGON STATE UNIVERSITY;893635;NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON;147000;NSF
UNIVERSITY OF CHICAGO, THE;984096;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;825000;NSF
NEW YORK UNIVERSITY;655707;NSF
ILLINOIS STATE UNIVERSITY;700046;NSF
NORTHWESTERN UNIVERSITY;255487;NSF
WASHINGTON AND LEE UNIVERSITY, THE;87630;NSF
UNIVERSITY OF MEMPHIS;1342970;NSF
UNIVERSITY OF MISSOURI SYSTEM;294559;NSF
DREXEL UNIVERSITY;548367;NSF
UNIVERSITY OF MISSOURI SYSTEM;100000;NSF
SAN FRANCISCO STATE UNIVERSITY;166647;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;1029674;NSF
UNIVERSITY OF WASHINGTON;750000;NSF
UNIVERSITY OF CHICAGO, THE;186000;NSF
TRUSTEES OF HAMPSHIRE COLLEGE;42000;NSF
LEVEL PLAYING FIELD INSTITUTE;528161;NSF
UNIVERSITY OF ILLINOIS;100000;NSF
CARNEGIE MELLON UNIVERSITY;61944;NSF
EDUCATION, TRAINING, AND RESEARCH ASSOCIATES;779725;NSF
TEXAS TECH UNIVERSITY SYSTEM;15000;NSF
MINERALS, METALS AND MATERIALS SOCIETY, INC. , THE;5000;NSF
OREGON STATE UNIVERSITY;11836;NSF
MICHIGAN STATE UNIVERSITY;16576;NSF
UNIVERSITY OF NEW MEXICO;214218;NASA
UNIVERSITY OF CALIFORNIA, DAVIS;558925;NSF
TRUSTEES OF BOSTON UNIVERSITY;101859;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;2922833;NSF
UNIVERSITY CORPORATION, THE;297852;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;150000;NSF
CARNEGIE MELLON UNIVERSITY;1455306;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;520000;NSF
BUTLER UNIVERSITY;2132804;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;89925;NSF
EDUCATION DEVELOPMENT CENTER, INC.;960864;NSF
EXPLORATORIUM, THE;838069;NSF
UNIVERSITY OF HAWAII SYSTEMS;225000;NASA
PLANETARY SCIENCE INSTITUTE;175000;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;65000;NASA
UNIVERSITY OF HAWAII SYSTEMS;212000;NASA
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION;165252;NASA
PURDUE UNIVERSITY;1787870;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;2000000;NSF
UNIVERSITY OF WASHINGTON;2000000;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;5000000;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;1000000;NSF
UNIVERSITY OF PITTSBURGH THE;405282;NSF
UNIVERSITY OF FLORIDA;392280;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;768601;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;19240;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;449820;NSF
