Awardee;Funds Obligated to Date;Agency
CATHOLIC UNIVERSITY OF AMERICA (THE);$66,227;NASA
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$178,710;NASA
UNIVERSITY OF SOUTH FLORIDA;$39,245;NASA
YALE UNIVERSITY;$169,526;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$33,928;NSF
NORTHWESTERN UNIVERSITY;$245,765;NSF
UNIVERSITY OF TENNESSEE;$263,005;NSF
UNIVERSITY OF CONNECTICUT;$124,475;NASA
OREGON STATE UNIVERSITY;$182,687;NSF
NEW MEXICO STATE UNIVERSITY;$50,000;NSF
UNIVERSITY OF TENNESSEE;$4,000;NSF
SAN DIEGO STATE UNIVERSITY FOUNDATION;$49,998;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$751,042;NASA
CSU FULLERTON AUXILIARY SERVICES CORPORATION;$188,562;NSF
HOSPI CORPORATION;$179,880;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$253,359;NSF
ASSOCIATION FOR COMPUTING MACHINERY, INC.;$10,000;NSF
UNIVERSITY OF UTAH, THE;$277,343;NSF
DREXEL UNIVERSITY;$44,853;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$5,000;NSF
UNIVERSITY OF FLORIDA;$11,800;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$95,566;NASA
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$49,991.44;NSF
UNIVERSITY OF WASHINGTON;$157,225;NASA
UNIVERSITY OF MASSACHUSETTS;$239,545;NASA
UNIVERSITY OF MARYLAND;$161,751;NASA
OHIO AEROSPACE INSTITUTE;$75,000;NASA
COLORADO STATE UNIVERSITY;$245,380;NASA
CARNEGIE INSTITUTION OF WASHINGTON;$162,440;NASA
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$440,753;NASA
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$336,819;NASA
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$2,015,154;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$492,764;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$10,748;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$10,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$1,222,826;NASA
UNIVERSITY OF FLORIDA;$481.76;NASA
NORTH CAROLINA STATE UNIVERSITY;$133,033;NSF
COLLEGE OF WILLIAM & MARY, THE;$25,000;NSF
WASHINGTON UNIVERSITY, THE;$450,000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$152,500;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$715,999;NSF
STEVENS INSTITUTE OF TECHNOLOGY (INC);$44,484;NSF
OHIO STATE UNIVERSITY, THE;$400,000;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$14,312;NSF
UNIVERSITY OF TEXAS AT EL PASO;$296,842;NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;$465,177;NSF
JOHNS HOPKINS UNIVERSITY, THE;$567,798;NSF
ARIZONA STATE UNIVERSITY;$12,155;NSF
BOSTON COLLEGE, TRUSTEES OF;$31,665;NSF
YALE UNIVERSITY;$279,007;NASA
UNIVERSITY OF MASSACHUSETTS;$222,927;NASA
SMITHSONIAN INSTITUTION;$188,569;NASA
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$246,352;NASA
OREGON STATE UNIVERSITY;$354,522;NSF
COLORADO STATE UNIVERSITY;$296,133;NASA
JOHNS HOPKINS UNIVERSITY, THE;$157,213;NASA
UNIVERSITY OF DELAWARE;$570,000;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$125,645;NASA
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$130,977;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$255,181;NSF
VANDERBILT UNIVERSITY, THE;$493,914;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$126,153;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$147,033;NSF
UNIVERSITY OF TOLEDO, THE;$100,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$398,194;NSF
LIGHTWAVE PHOTONICS, INC.;$500,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$216,220;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$27,018;NSF
UNIVERSITY OF DELAWARE;$320,879;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$211,371;NSF
UNIVERSITY OF WYOMING;$463,795;NSF
CARY INSTITUTE OF ECOSYSTEM STUDIES, INC.;$238,658;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$9,577;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$573,591;NASA
JOHNS HOPKINS UNIVERSITY, THE;$78,901;NASA
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$233,345;NSF
UNIVERSITY OF HOUSTON SYSTEM;$387,430;NSF
UNIVERSITY OF UTAH, THE;$233,443;NSF
GORDON RESEARCH CONFERENCES INC;$15,000;NSF
FLORIDA STATE UNIVERSITY, THE;$239,119;NASA
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE;$220,126;NASA
JOHNS HOPKINS UNIVERSITY, THE;$155,817;NASA
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.;$339,262;NASA
UNIVERSITY OF ARIZONA;$237,500;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$669,100;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$354,010;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$215,999;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$17,632;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$1,451,311;NSF
UNIVERSITY OF ARIZONA;$1,362,190;NSF
THE UNIVERSITY OF AKRON;$25,000;NSF
TRUSTEES OF TUFTS COLLEGE INC;$400,000;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$360,780;NSF
UNIVERSITY OF MASSACHUSETTS;$360,989;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$68,855;NSF
PURDUE UNIVERSITY;$126,078;NSF
UNIVERSITY OF FLORIDA;$151,824;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$387,652;NSF
LAMAR UNIVERSITY;$107,090;NSF
ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA, THE;$168,619;NSF
SETI INSTITUTE;$2,109,301;NASA
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$300,000;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$204,972;NSF
SYRACUSE UNIVERSITY;$435,907;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$629,158;NSF
CLEAR GUIDE MEDICAL, LLC;$199,850;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$25,000;NSF
UNIVERSITY OF MISSOURI SYSTEM;$11,032;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$26,020;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$15,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$33,116;NSF
JOHNS HOPKINS UNIVERSITY, THE;$344,995;NASA
WILLIAM MARSH RICE UNIVERSITY;$220,693;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$308,061;NSF
UNIVERSITY OF PITTSBURGH THE;$45,563;NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY;$171,260;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$89,500;NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES;$29,000;NSF
WAYNE STATE UNIVERSITY (INC);$50,000;NSF
DONALD DANFORTH PLANT SCIENCE CENTER;$670,064;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$257,003;NSF
UNIVERSITY OF ALASKA ANCHORAGE;$209,997;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$192,778;NSF
UNIVERSITY OF RHODE ISLAND;$269,921;NSF
LOUISIANA STATE UNIVERSITY (INC);$150,466;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$198,183;NSF
UNIVERSITY OF TEXAS AT EL PASO;$197,167;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$207,154.52;NASA
OREGON HEALTH & SCIENCE UNIVERSITY;$802,000;NASA
NORTH CAROLINA STATE UNIVERSITY;$157,768;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$49,273;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$24,992;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$62,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$201,748;NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER OF SAN ANTONIO;$369,595;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$305,001.94;NSF
YALE UNIVERSITY;$240,000;NSF
UNIVERSITY OF TENNESSEE;$268,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$200,508;NSF
UNIVERSITY OF ILLINOIS;$181,345;NSF
BIGELOW LABORATORY FOR OCEAN SCIENCES;$711,204.8;NSF
MINNESOTA STATE UNIVERSITY, MANKATO;$217,954;NSF
ARIZONA STATE UNIVERSITY;$804,435;NSF
CLEMSON UNIVERSITY;$400,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$519,222;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$55,158;NSF
UNIVERSITY OF NEBRASKA;$94,395;NSF
TRUSTEES OF TUFTS COLLEGE INC;$264,927;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$177,678;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$93,388;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$199,993;NSF
UNIVERSITY OF ILLINOIS;$30,000;NSF
SETI INSTITUTE;$418,157;NASA
UNIVERSITY OF TEXAS AT EL PASO;$134,598;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$400,000;NSF
GORDON RESEARCH CONFERENCES INC;$41,950;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$8,750;NSF
UNIVERSITY OF MARYLAND;$146,327;NSF
MIAMI UNIVERSITY;$125,773;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$25,001;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$16,413;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$205,245;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$85,530;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$143,474;NSF
SPACE SCIENCE INSTITUTE;$240,733;NASA
CORNELL UNIVERSITY, INC;$173,697;NASA
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$358,059;NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION;$62,402;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$0;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$99,975;NSF
UNIVERSITY OF WASHINGTON;$176,078;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$398,570;NSF
UNIVERSITY OF UTAH, THE;$99,947;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$260,681;NSF
NEW YORK INSTITUTE OF TECHNOLOGY INC;$359,513;NSF
WORCESTER POLYTECHNIC INSTITUTE;$164,585;NSF
UNIVERSITY OF MARYLAND;$244,500;NSF
VIRGINIA COMMONWEALTH UNIVERSITY;$120,000;NSF
COLORADO STATE UNIVERSITY;$141,452;NSF
UNIVERSITY OF UTAH, THE;$91,454;NASA
GEORGIA TECH RESEARCH CORPORATION;$11,973;NSF
UNIVERSITY OF CINCINNATI;$255,714;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$572,998;NSF
UNIVERSITY OF TULSA, THE;$132,110;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$361,488;NSF
RTSYNC CORP.;$270,813;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$555,881;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$156,500;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$715,330;NSF
UNIVERSITY OF HAWAII SYSTEMS;$367,064;NSF
GENESYS RESEARCH INSTITUTE, INC.;$123,060;NASA
UNIVERSITY OF WISCONSIN SYSTEM;$350,000;NSF
CATHOLIC UNIVERSITY OF AMERICA (THE);$321,498;NASA
CARNEGIE MELLON UNIVERSITY;$64,743;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$550,000;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$550,000;NSF
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE;$99,291;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;$38,443;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$250,000;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$16,330;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$10,839;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$901,075;NASA
WILLIAM MARSH RICE UNIVERSITY;$166,134;NSF
AMERICAN GEOPHYSICAL UNION;$20,750;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$115,468;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$15,940;NSF
UNIVERSITY OF ILLINOIS;$11,500;NSF
UNIVERSITY OF CINCINNATI;$11,500;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$15,625;NSF
UNIVERSITY OF MASSACHUSETTS;$11,500;NSF
PURDUE UNIVERSITY;$16,120;NSF
UNIVERSITY OF LOUISVILLE;$55,802;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$358,257;NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$413,426;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$220,023;NSF
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE;$33,982;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$47,532;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$53,584;NASA
FLORIDA INTERNATIONAL UNIVERSITY;$0;NSF
TRUSTEES OF INDIANA UNIVERSITY;$617,321;NSF
UNIVERSITY OF CHICAGO, THE;$224,468;NSF
UNIVERSITY OF MISSOURI SYSTEM;$496,644;NASA
UNIVERSITY OF MASSACHUSETTS;$233,127.53;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$12,930;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$3,906,122;NSF
CARY INSTITUTE OF ECOSYSTEM STUDIES, INC.;$104,122;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$170,909;NSF
UNIVERSITY OF PITTSBURGH THE;$250,148;NSF
NATIONAL SPACE GRANT FOUNDATION, INC. (THE);$996,700.9;NASA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$2,945,775;NASA
UNIVERSITY OF FLORIDA;$156,244;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$233,891;NASA
CORNELL UNIVERSITY, INC;$4,898,553;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$94,792;NSF
UNIVERSITY OF NEVADA, RENO;$45,440;NSF
OHIO STATE UNIVERSITY, THE;$10,000;NSF
WASHINGTON UNIVERSITY, THE;$15,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$21,280;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$40,817;NSF
NEW YORK UNIVERSITY;$22,244;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$200,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$405,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$207,270;NASA
NATIONAL INSTITUTE OF AEROSPACE ASSOCIATES;$289,665.2;NASA
AMHERST COLLEGE, TRUSTEES OF;$151,408;NSF
UNIVERSITY OF CHICAGO, THE;$626,000;NASA
ARQBALL LLC;$611,589;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$6,158.61;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$210,045;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$205,414;NSF
LOWELL OBSERVATORY;$234,135;NASA
LELAND STANFORD JUNIOR UNIVERSITY, THE;$179,072;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$193,704;NASA
UNIVERSITY OF ARIZONA;$212,119;NASA
YALE UNIVERSITY;$215,737;NASA
UNIVERSITY OF MISSOURI SYSTEM;$118,548;NASA
JOHNS HOPKINS UNIVERSITY, THE;$224,214;NASA
BIGELOW LABORATORY FOR OCEAN SCIENCES;$26,446;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$125,000;NASA
JOHNS HOPKINS UNIVERSITY, THE;$131,931;NSF
GEORGIA TECH RESEARCH CORPORATION;$258,861;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$375,067;NSF
AUBURN UNIVERSITY;$135,172;NSF
BIGELOW LABORATORY FOR OCEAN SCIENCES;$448,231;NASA
OREGON STATE UNIVERSITY;$325,366;NSF
UNIVERSITY OF HAWAII SYSTEMS;$266,914;NASA
SMITHSONIAN INSTITUTION;$65,000;NASA
ELECTROCHEMICAL MATERIALS;$533,273;NSF
UNIVERSITY OF TENNESSEE;$650,000;NSF
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK INC;$2,213,267;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;$390,195;NSF
CORNELL UNIVERSITY, INC;$737,950;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$301,598;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$306,000;NSF
TRUSTEES OF TUFTS COLLEGE INC;$189,181.12;NSF
OHIO STATE UNIVERSITY, THE;$179,975;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$48,000;NSF
JOHNS HOPKINS UNIVERSITY, THE;$199,811;NSF
DREXEL UNIVERSITY;$42,000;NSF
OHIO STATE UNIVERSITY, THE;$27,963;NSF
TEXAS A & M UNIVERSITY;$209,129;NSF
FLORIDA STATE UNIVERSITY, THE;$176,069;NSF
WILLAMETTE UNIVERSITY;$499,025;NSF
JOHNS HOPKINS UNIVERSITY, THE;$12,000;NSF
UNIVERSITY OF ILLINOIS;$172,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$513,000;NSF
TEXAS A & M UNIVERSITY;$83,998;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$35,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$336,778;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$193,525;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$15,000;NSF
KANSAS STATE UNIVERSITY;$15,000;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$61,562;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$54,074;NSF
WILLIAM MARSH RICE UNIVERSITY;$18,420;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$28,604;NSF
WASHINGTON STATE UNIVERSITY;$339,584;NSF
MORTON ARBORETUM (INC);$243,657;NSF
SMITHSONIAN INSTITUTION;$254,874;NASA
LELAND STANFORD JUNIOR UNIVERSITY, THE;$0;NASA
VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA;$171,686;NASA
JOHNS HOPKINS UNIVERSITY, THE;$243,700;NASA
WORCESTER POLYTECHNIC INSTITUTE;$253,052;NSF
GRAND VALLEY STATE UNIVERSITY;$153,360;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$220,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$600,001;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$192,475;NSF
SMITHSONIAN INSTITUTION;$50,692;NASA
GEORGE MASON UNIVERSITY;$259,865;NASA
UNIVERSITY OF ARIZONA;$830,990;NASA
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC;$233,943;NASA
NATIONAL ACADEMY OF SCIENCES;$210,000;NASA
UNIVERSITY OF WISCONSIN SYSTEM;$32,000;NASA
OREGON STATE UNIVERSITY;$386,240;NASA
NEW YORK UNIVERSITY;$122,625.93;NSF
THE MISSOURI BOTANICAL GARDEN;$152,564;NSF
UNIVERSITY OF CINCINNATI;$240,000;NSF
UNIVERSITY OF ALABAMA IN HUNTSVILLE;$109,773;NASA
UNIVERSITY OF WASHINGTON;$92,141;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$98,670;NSF
NEW YORK UNIVERSITY;$136,162;NSF
UNIVERSITY OF CHICAGO, THE;$200,000;NSF
UNIVERSITY OF MARYLAND;$56,920;NSF
UNIVERSITY OF CENTRAL FLORIDA;$190,134;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$383,213;NSF
TEXAS STATE UNIVERSITY;$439,849;NSF
THE GEORGE WASHINGTON UNIVERSITY;$5,490;NSF
UNIVERSITY OF OREGON;$250,000;NSF
UNIVERSITY OF WASHINGTON;$64,980;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$107,500;NSF
CORNELL UNIVERSITY, INC;$528,383;NSF
CORNELL UNIVERSITY, INC;$297,524;NSF
INFINIUM, INC.;$501,993;NSF
UNIVERSITY OF ARIZONA;$532,948;NSF
SAN DIEGO STATE UNIVERSITY FOUNDATION;$253,855;NSF
TEXAS A & M UNIVERSITY;$40,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$51,526;NSF
UNIVERSITY OF TEXAS AT EL PASO;$12,377;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$43,717;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$1,096,657;NASA
REGENTS OF THE UNIVERSITY OF IDAHO;$361,770;NSF
UNIVERSITY OF UTAH, THE;$8,200;NSF
VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA;$141,798;NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION;$143,312;NASA
CALIFORNIA INSTITUTE OF TECHNOLOGY;$165,704;NSF
TEXAS A & M UNIVERSITY;$412,797;NSF
LUTHERAN UNIVERSITY ASSOCIATION, INC., THE;$186,250;NSF
UNIVERSITY OF WASHINGTON;$400,125;NASA
PENNSYLVANIA STATE UNIVERSITY, THE;$52,892;NASA
CORNELL UNIVERSITY, INC;$10,966;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$12,500;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;$469,559;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$314,431;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$254,353;NSF
DREXEL UNIVERSITY;$240,301;NSF
SYRACUSE UNIVERSITY;$160,000;NSF
UNIVERSITY OF ILLINOIS;$70,000;NSF
UNIVERSITY OF NEW MEXICO;$100,357;NSF
UNIVERSITY OF ILLINOIS;$202,581;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$299,231;NSF
TRUSTEES OF INDIANA UNIVERSITY;$1,049,851;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$22,000;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$27,468;NSF
UNIVERSITY OF FLORIDA;$2,983,167;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$2,362,250;NSF
NEXTECH MATERIALS, LTD.;$516,000;NSF
TYMORA ANALYTICAL OPERATIONS, LLC;$509,949;NSF
UNIFIED SCIENCE LLC;$633,866;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$901,000;NSF
SMITHSONIAN INSTITUTION;$257,258;NASA
TENNESSEE TECHNOLOGICAL UNIVERSITY;$51,354.91;NASA
OHIO STATE UNIVERSITY, THE;$259,160;NSF
UNIVERSITY OF UTAH, THE;$96,249;NSF
UNIVERSITY OF WASHINGTON;$232,390;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$78,750;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$140,411;NASA
SMITHSONIAN INSTITUTION;$42,937;NASA
UNIVERSITY OF HAWAII SYSTEMS;$301,120;NASA
UNIVERSITY OF ALABAMA AT BIRMINGHAM;$97,283;NSF
ASSOCIATION FOR WOMEN IN MATHEMATICS;$49,861;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$549,938;NSF
UNIVERSITY OF TEXAS AT DALLAS;$5,000;NSF
CARNEGIE MELLON UNIVERSITY;$400,000;NSF
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION;$150,000;NSF
CARNEGIE MELLON UNIVERSITY;$160,000;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$433,248;NSF
OHIO STATE UNIVERSITY, THE;$15,250;NSF
NORTHWEST RESEARCH ASSOCIATES, INC.;$341,284;NSF
UNIVERSITY OF UTAH, THE;$259,567;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$226,321;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$212,896;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$411,352;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$337,077;NSF
UNIVERSITY OF DELAWARE;$510,544;NSF
SYMBIOS TECHNOLOGIES LLC;$523,231;NSF
KENYON COLLEGE;$27,012;NSF
UNIVERSITY OF UTAH, THE;$529,999;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$150,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$181,874;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$10,000;NSF
UNIVERSITY OF TEXAS AT DALLAS;$160,000;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$213,220;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$378,010;NSF
WILLIAM MARSH RICE UNIVERSITY;$197,524;NASA
COLORADO STATE UNIVERSITY;$150,000;NSF
BRANDEIS UNIVERSITY;$175,637;NSF
UNIVERSITY OF OREGON;$188,694;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$462,164;NSF
SPACE SCIENCE INSTITUTE;$103,140;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$110,574;NASA
NORTH CAROLINA STATE UNIVERSITY;$128,000;NSF
UNIVERSITY OF MIAMI;$196,311;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$128,830;NASA
NEW MEXICO STATE UNIVERSITY;$861,269;NSF
UNIVERSITY OF SOUTHERN MISSISSIPPI;$199,565;NSF
UNIVERSITY OF NEBRASKA;$623,638;NSF
UNIVERSITY OF IOWA, THE;$273,895;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$157,716;NSF
LOUISIANA STATE UNIVERSITY (INC);$449,083;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$162,996;NSF
