Awardee;Funds Obligated to Date;Agency
UNIVERSITY OF TEXAS AT AUSTIN;$7,489;NSF
PROXEMY RESEARCH, INC;$47,301.64;NASA
JOHNS HOPKINS UNIVERSITY, THE;$694,614;NASA
RESOURCES FOR THE FUTURE, INC.;$334,055;NASA
NEW MEXICO STATE UNIVERSITY;$112,037;NSF
NEW MEXICO STATE UNIVERSITY;$1,369,326;NSF
WASHINGTON STATE UNIVERSITY;$800,000;NSF
NORTHEASTERN UNIVERSITY;$511,377.7;NASA
UNIVERSITY OF ILLINOIS;$860,000;NASA
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$294,123;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$475,149;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$169,614;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$49,876;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$75,000;NASA
UNIVERSITY OF DELAWARE;$335,862;NASA
SALK INSTITUTE FOR BIOLOGICAL STUDIES, SAN DIEGO, CALIFORNIA, THE;$724,999;NSF
GEORGIA TECH RESEARCH CORPORATION;$499,443;NSF
GEORGIA TECH RESEARCH CORPORATION;$706,430;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$156,000;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;$0;NASA
NORTHAMPTON COMMUNITY COLLEGE;$212,489;NSF
DREXEL UNIVERSITY;$270,584;NSF
PURDUE UNIVERSITY;$500,000;NSF
VANDERBILT UNIVERSITY, THE;$399,951;NSF
NORTH CAROLINA STATE UNIVERSITY;$200,002;NSF
WASHINGTON UNIVERSITY, THE;$299,412;NSF
MATHEMATICAL ASSOCIATION OF AMERICA, INC;$698,744;NSF
CENTRAL MICHIGAN UNIVERSITY (INC);$565,000;NSF
UNIVERSITY OF MEMPHIS;$428,744;NSF
UNIVERSITY OF ILLINOIS;$134,990;NSF
NEW YORK UNIVERSITY;$299,999;NSF
OPEN SOURCE PROJECT FOR A NETWORK DATA ACCESS PROTOCOL, THE;$802,000;NSF
WASHINGTON STATE UNIVERSITY;$400,000;NSF
BAYLOR UNIVERSITY;$400,000;NSF
MARINE BIOLOGICAL LABORATORY, THE;$493,458;NSF
WOODS HOLE RESEARCH CENTER, INC., THE;$888,731;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$299,996;NSF
UNIVERSITY OF SOUTH CAROLINA;$50,000;NSF
WORCESTER POLYTECHNIC INSTITUTE;$1,499,346;NSF
PURDUE UNIVERSITY;$126,957;NSF
GEORGIA TECH RESEARCH CORPORATION;$149,810;NSF
UNIVERSITY OF WASHINGTON;$1,374,727;NSF
NEW YORK HALL OF SCIENCE;$1,195,109;NSF
UNIVERSITY OF MASSACHUSETTS;$98,542;NSF
UNIVERSITY OF ILLINOIS;$180,000;NASA
WESTERN MICHIGAN UNIVERSITY;$199,998;NASA
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;$249,283;NSF
UNIVERSITY OF WYOMING;$1,199,963;NSF
EDUCATION DEVELOPMENT CENTER, INC.;$999,979;NSF
VANDERBILT UNIVERSITY, THE;$50,000;NSF
AMERICAN MUSEUM OF NATURAL HISTORY, THE;$150,001;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$482,252;NSF
NORTH CAROLINA STATE UNIVERSITY;$185,450;NSF
PURDUE UNIVERSITY;$200,000;NASA
NORTHERN ILLINOIS UNIVERSITY INC;$240,000;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;$425,000;NSF
HEALTH FIDELITY, INC;$405,687;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$9,750;NSF
GEORGIA TECH RESEARCH CORPORATION;$80,000;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$5,000;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$239,817;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$538,733;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$340,000;NSF
SCIENCE MUSEUM OF MINNESOTA, THE;$1,199,539;NSF
DUKE UNIVERSITY;$132,908;NSF
ARIZONA STATE UNIVERSITY;$289,980;NSF
UNIVERSITY OF MASSACHUSETTS;$0;NSF
NORTHWESTERN UNIVERSITY;$714,599;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$52,714;NASA
VASSAR COLLEGE;$899,314;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$50,000;NSF
UNIVERSITY OF ROCHESTER;$188,776;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$949,919;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$449,829;NSF
UNIVERSITY OF KENTUCKY;$749,999;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$560,183;NSF
NORTHWESTERN UNIVERSITY;$200,000;NSF
UNIVERSITY OF ILLINOIS;$799,943;NSF
GEORGIA TECH RESEARCH CORPORATION;$59,999;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$50,000;NSF
UNIVERSITY OF CONNECTICUT;$140,000;NSF
HOFSTRA UNIVERSITY;$1,199,737;NSF
DEURION, LLC;$452,271;NSF
UNIVERSITY OF CHICAGO, THE;$17,829;NSF
UNIVERSITY OF ALABAMA;$250,000;NSF
OHIO UNIVERSITY;$25,000;NASA
KING'S COLLEGE;$87,775;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$195,262;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$120,493;NSF
CHAPMAN UNIVERSITY;$39,553;NSF
MICHIGAN STATE UNIVERSITY;$969,929;NSF
WILLIAM MARSH RICE UNIVERSITY;$209,105;NSF
PURDUE UNIVERSITY;$1,199,969;NSF
OREGON STATE UNIVERSITY;$893,635;NSF
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON;$147,000;NSF
UNIVERSITY OF CHICAGO, THE;$984,096;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$825,000;NSF
NEW YORK UNIVERSITY;$655,707;NSF
ILLINOIS STATE UNIVERSITY;$700,046;NSF
NORTHWESTERN UNIVERSITY;$255,487;NSF
WASHINGTON AND LEE UNIVERSITY, THE;$87,630;NSF
UNIVERSITY OF MEMPHIS;$1,342,970;NSF
UNIVERSITY OF MISSOURI SYSTEM;$294,559;NSF
DREXEL UNIVERSITY;$548,367;NSF
UNIVERSITY OF MISSOURI SYSTEM;$100,000;NSF
SAN FRANCISCO STATE UNIVERSITY;$166,647;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$1,029,674;NSF
UNIVERSITY OF WASHINGTON;$750,000;NSF
